Title;Artist;Year;Duo;Explicit;"Date Added";Styles
"The Best";"Tina Turner";1989;0;0;2012-01-27;Pop,Rock
"Your Man";"Josh Turner";2005;0;0;2011-11-30;Country
"California Dreamin'";"The Mamas And The Papas";1966;1;0;2012-02-09;Pop,Folk,Duet
Santeria;Sublime;1996;0;0;2011-11-28;Reggae,Rock
"Je veux";Zaz;2010;0;0;2012-09-19;"French pop"
Emmenez-moi;"Charles Aznavour";1967;0;0;2011-07-29;"French pop"
Royals;Lorde;2013;0;0;2013-07-12;Pop,Alternative,Electro
"Do You Want To Build A Snowman";Frozen;2013;1;0;2015-04-08;"TV & movie soundtrack,Duet"
"I See Fire";"Ed Sheeran";2013;0;0;2013-11-22;"Folk,TV & movie soundtrack"
"I Wanna Dance With Somebody";"Whitney Houston";1987;0;0;2012-03-05;Pop,80s
"Mustang Sally";"The Commitments";1991;0;0;2008-07-17;"Soul,Blues,TV & movie soundtrack"
September;"Earth, Wind & Fire";1978;0;0;2008-07-23;Disco,Funk
"Unchain My Heart";"Joe Cocker";1987;0;0;2011-05-31;Pop,Rock
"Mag ik dan bij jou";"Claudia de Breij";2011;0;0;2014-12-23;"Soft rock"
"Crazy Little Thing Called Love";Queen;1980;0;0;2007-05-04;Rock
"Don't Know Why";"Norah Jones";2001;0;0;2007-05-04;Jazz,Soul
"Ice Ice Baby";"Vanilla Ice";1990;0;0;2011-05-30;Rap
Manhattan-Kaboul;Renaud;2002;1;0;2013-10-08;"French pop,Duet"
"Give Me One Reason";"Tracy Chapman";1995;0;0;2007-07-25;"Blues,Soft rock"
Supergirl;"Alle Farben";2015;0;0;2015-06-23;Dance,Electro
L-O-V-E;"Nat King Cole";1965;0;0;2008-07-24;Jazz,Oldies
Homeless;"Marina Kaye";2014;0;0;2015-04-21;Pop,Dance
"Girls Just Wanna Have Fun";"Cyndi Lauper";1983;0;0;2008-01-14;"80s,Pop,TV & movie soundtrack"
"I Want It That Way";"Backstreet Boys";1999;0;0;2007-09-12;"Teen pop"
Bella;"Maître Gims";2013;0;0;2014-05-26;"French pop,Rap"
"Magic In The Air";"Magic System";2014;0;0;2014-05-22;"Dance,French pop,Zouk/Creole"
Y.M.C.A.;"Village People";1975;0;0;2011-05-30;Pop
"He Stopped Loving Her Today";"George Jones";1980;0;0;2011-11-21;Country
"Always On My Mind";"Willie Nelson";1982;0;0;2012-07-03;Country
"Pas là";Vianney;2014;0;0;2015-06-08;"French pop"
"Eye Of The Tiger";Survivor;1982;0;0;2014-03-07;"Rock,TV & movie soundtrack"
"Angels and Alcohol";"Alan Jackson";2015;0;0;2015-08-12;Country
"Back To Black";"Amy Winehouse";2006;0;0;2008-03-25;Soul
Riptide;"Vance Joy";2013;0;0;2013-12-15;Folk,Pop,Alternative
