Title;Artist;Year;Duo;Explicit;"Date Added";Styles
"Under The Boardwalk";"The Drifters";1960;0;0;2011-05-31;Oldies,Rock
"Eye Of The Tiger";Survivor;1982;0;0;2014-03-07;"Rock,TV & movie soundtrack"
"The First Noel";"Christmas Carol";1833;0;0;2011-05-30;Christmas,Traditionnal
"L'envie d'aimer";"Les Dix Commandements";2000;0;0;2011-05-31;"French pop,Musical,Love"
"Love Me Tender";"Elvis Presley";1956;0;0;2007-05-04;Love,Oldies
"Girls Just Wanna Have Fun";"Cyndi Lauper";1983;0;0;2008-01-14;"80s,Pop,TV & movie soundtrack"
"Mon mec à moi";"Patricia Kaas";1988;0;0;2013-05-16;"French pop"
"Hark! The Herald Angels Sing";"Christmas Carol";1855;0;0;2011-05-31;Christmas,Traditionnal
"Mustang Sally";"The Commitments";1991;0;0;2008-07-17;"Soul,Blues,TV & movie soundtrack"
"Oh Happy Day";"Sister Act";1993;0;0;2008-01-14;"Gospel,Musical,TV & movie soundtrack"
"Alexandrie Alexandra";"Claude François";1978;0;0;2014-07-28;"French pop,Disco"
"Crazy Little Thing Called Love";Queen;1980;0;0;2007-05-04;Rock
"I Want It That Way";"Backstreet Boys";1999;0;0;2007-09-12;"Teen pop"
"Smoke Break";"Carrie Underwood";2015;0;0;2015-09-23;Country,Rock,Pop
"Baby It's Cold Outside";"Idina Menzel";2014;1;0;2014-11-18;Christmas,Jazz,Duet
"Valerie ('68 version)";"Amy Winehouse";2011;0;0;2012-07-18;Soul,Jazz
"Ain't No Sunshine";"Bill Withers";1971;0;0;2011-10-31;Soul,Blues
Rehab;"Amy Winehouse";2006;0;0;2007-10-18;Soul
"Can You Feel The Love Tonight";"Elton John";1994;0;0;2015-06-11;"TV & movie soundtrack,Soft rock,Pop"
"O Tannenbaum";"Christmas Carol";1824;0;0;2008-06-26;Christmas,Traditionnal,Kids
"Total Eclipse Of The Heart";"Bonnie Tyler";1983;0;0;2011-05-30;"Soft rock"
"He Stopped Loving Her Today";"George Jones";1980;0;0;2011-11-21;Country
"Proud Mary";"Creedence Clearwater Revival";1969;0;0;2007-05-04;Folk,Pop
Riptide;"Vance Joy";2013;0;0;2013-12-15;Folk,Pop,Alternative
Yesterday;"The Beatles";1965;0;0;2011-05-31;Pop,Love
"I'm Gonna Be (500 Miles)";"The Proclaimers";1988;0;0;2013-12-05;Rock
