Title;Artist;Year;Duo;Explicit;"Date Added";Styles
"I Got You (I Feel Good)";"James Brown";1966;0;0;2011-05-30;Funk
"Your Man";"Josh Turner";2005;0;0;2011-11-30;Country
"Allumer le feu";"Johnny Hallyday";1998;0;0;2011-05-30;"French pop,Rock"
"Cette année-là";"Claude François";1976;0;0;2011-05-31;"French pop,Disco"
"Blue Suede Shoes";"Elvis Presley";1956;0;0;2007-05-04;"Rock 'n Roll,Oldies"
"I Got You Babe";"Sonny and Cher";1965;1;0;2007-05-04;Pop,Duet,Love
"I Don't Want To Miss A Thing";Aerosmith;1998;0;0;2011-05-30;"Pop,Rock,TV & movie soundtrack"
"I'm A Believer";"The Monkees";1966;0;0;2011-11-14;Pop,Rock
"The Gambler";"Kenny Rogers";1978;0;0;2008-07-21;Country,Folk
"Marry You";"Bruno Mars";2010;0;0;2011-05-31;Pop
"California Dreamin'";"The Mamas And The Papas";1966;1;0;2012-02-09;Pop,Folk,Duet
"Georgia On My Mind";"Ray Charles";1960;0;0;2008-07-21;Soul,Jazz
"The Best";"Tina Turner";1989;0;0;2012-01-27;Pop,Rock
"My Baby Just Cares For Me";"Nina Simone";1955;0;0;2008-05-06;Jazz,Oldies
"Achy Breaky Heart";"Billy Ray Cyrus";1992;0;0;2007-09-03;Country,Rock
"Son Of A Preacher Man";"Dusty Springfield";1969;0;0;2007-05-04;Oldies,Blues
Sway;"Michael Bublé";2004;0;0;2007-05-04;Latin
"Suspicious Minds";"Elvis Presley";1969;0;0;2007-05-04;"Rock 'n Roll"
"Mon mec à moi";"Patricia Kaas";1988;0;0;2013-05-16;"French pop"
"La bohème";"Charles Aznavour";1966;0;0;2011-07-29;"French pop"
"Englishman In New-York";"Cris Cab";2015;0;0;2015-07-07;Pop,Dance,Reggae
"Bang Bang";"Ariana Grande";2014;0;0;2014-09-29;Pop,R&B,Soul,Rap
"Lean On Me";"Bill Withers";1972;0;0;2007-05-17;Pop,Rock
"I Am A Man Of Constant Sorrow";"Soggy Bottom Boys";2002;0;0;2007-05-04;"Country,TV & movie soundtrack"
"Just The Way You Are";"Billy Joel";1977;0;0;2011-10-11;"Pop,Soft rock"
"Pas là";Vianney;2014;0;0;2015-06-08;"French pop"
"Cool For The Summer";"Demi Lovato";2015;0;1;2015-07-28;Pop,Electro,Rock
"Trap Queen";"Fetty Wap";2014;0;0;2015-08-04;Rap
Margaritaville;"Jimmy Buffett";1977;0;0;2011-05-30;Pop,Folk
"Just The Way You Are";"Bruno Mars";2010;0;0;2011-05-31;Pop
"When You Say Nothing At All";"Alison Krauss & Union Station";1995;0;0;2007-05-17;Country
"I Have Nothing";"Whitney Houston";1992;0;0;2007-05-14;"TV & movie soundtrack,Love"
Bartender;"Lady Antebellum";2014;0;0;2014-06-23;Country,Pop
"All That Jazz";"Catherine Zeta Jones";2003;0;0;2007-05-04;"Musical,TV & movie soundtrack,Jazz"
Riptide;"Vance Joy";2013;0;0;2013-12-15;Folk,Pop,Alternative
"I Won't Give Up";"Jason Mraz";2012;0;0;2012-06-15;Pop
"Something's Gotta Hold On Me";"Christina Aguilera";2010;0;0;2011-05-30;"Musical,TV & movie soundtrack,Pop,Rock 'n Roll"
"Hit Me With Your Best Shot";"Pat Benatar";1980;0;0;2011-12-21;Rock
"La vie en rose";"Edith Piaf";1942;0;0;2012-01-18;"French pop"
"Amarillo By Morning";"George Strait";1983;0;0;2012-11-19;Country
"Mack The Knife";"Bobby Darin";1959;0;0;2007-05-31;Jazz
"We Are The Champions";Queen;1977;0;0;2007-05-04;Rock
"Neon Moon";"Brooks & Dunn";1991;0;0;2011-05-31;Country
"Mag ik dan bij jou";"Claudia de Breij";2011;0;0;2014-12-23;"Soft rock"
"Three Little Birds";"Bob Marley";1977;0;0;2011-05-30;Reggae
"My Favorite Things";"The Sound Of Music";1959;0;0;2011-05-30;"Musical,TV & movie soundtrack,Oldies"
"Love Shack";"The B-52's";1989;0;0;2012-01-31;80s,Rock,Pop
"Over The Rainbow";"Josh Groban";2015;0;0;2015-08-03;Musical,Folk
"Ghost Town";"Adam Lambert";2015;0;0;2015-07-31;Dance,Pop,Electro
"You'll Never Walk Alone";"Josh Groban";2015;0;0;2015-07-07;Pop,Musical
"La Bamba";"Los Lobos";1985;0;0;2011-05-30;Latin,Pop,Traditionnal
"Under The Boardwalk";"The Drifters";1960;0;0;2011-05-31;Oldies,Rock
"Twist And Shout";"The Beatles";1962;0;0;2008-01-15;"Rock 'n Roll,Rock,Oldies"
"Love Story";"Taylor Swift";2008;0;0;2011-05-30;Pop,Country
"Chicken Fried";"Zac Brown Band";2005;0;0;2011-05-31;Country
"I Can't Make You Love Me";"Bonnie Raitt";1991;0;0;2008-01-21;Pop,Love
"The Wonder Of You";"Elvis Presley";1970;0;0;2012-10-01;Oldies,Pop
"I Saw Her Standing There";"The Beatles";1964;0;0;2011-05-30;"Rock 'n Roll,Pop"
L-O-V-E;"Nat King Cole";1965;0;0;2008-07-24;Jazz,Oldies
Bella;"Maître Gims";2013;0;0;2014-05-26;"French pop,Rap"
Demons;"Imagine Dragons";2012;0;0;2013-11-22;Alternative,Rock
"It's Not Unusual";"Tom Jones";1965;0;0;2007-06-27;Pop,Soul,Rock,Oldies
"Dream A Little Dream Of Me";"The Mamas And The Papas";1968;0;0;2012-01-31;Folk
"Ce rêve bleu";Aladdin;1992;1;0;2015-03-26;"TV & movie soundtrack,Duet,French pop,Kids"
"The Dance";"Garth Brooks";1989;0;0;2012-03-07;Country
"Don't Know Why";"Norah Jones";2001;0;0;2007-05-04;Jazz,Soul
"Simple Man";"Lynyrd Skynyrd";1973;0;0;2011-05-30;Rock,Hard/Metal,Country
"Danny Boy";Traditional;1855;0;0;2008-06-26;Traditionnal,Celtic,Jazz
Cool;"Kendji Girac";2014;0;0;2014-11-17;"French pop,Latin,Electro"
"Le coup de soleil";"Richard Cocciante";1979;0;0;2013-09-16;"French pop,Love"
"Hold My Hand";"Jess Glynne";2015;0;0;2015-04-21;Pop,Dance,Electro
"Gunpowder & Lead";"Miranda Lambert";2007;0;0;2008-07-17;Country
"Over The Rainbow / What A Wonderful World";"Israel Kamakawiwo'ole";1993;0;0;2011-05-30;"World/Folk,Zouk/Creole,TV & movie soundtrack"
FourFiveSeconds;Rihanna;2015;1;0;2015-03-14;Pop,Folk,Duet
"Walkin' After Midnight";"Patsy Cline";1957;0;0;2012-01-31;Country
"Do You Want To Build A Snowman";Frozen;2013;1;0;2015-04-08;"TV & movie soundtrack,Duet"
"O Holy Night";"Christmas Carol";1847;0;0;2011-05-30;Christmas,Christian,Traditionnal
"Chandelier (Piano Version)";Sia;2014;0;0;2014-10-15;Pop
"More Than Words";Extreme;1991;0;0;2011-05-30;"Soft rock"
"Dance With My Father";"Luther Vandross";2003;0;0;2007-05-14;R&B,Love
"Parler à mon père";"Céline Dion";2012;0;0;2012-09-28;"French pop"
