Title;Artist;Year;Duo;Explicit;"Date Added";Styles
"Like a Wrecking Ball";"Eric Church";2014;0;0;2015-09-03;Rock,Country,Love
"What Child Is This";"Christmas Carol";1865;0;0;2011-05-30;Christmas,Christian,Traditionnal
"Hold Back The River";"James Bay";2014;0;0;2014-12-12;Pop,Rock
"Say Something";"A Great Big World";2013;1;0;2014-01-08;Pop,Duet
"Love Me Like You Do";"Ellie Goulding";2014;0;0;2015-01-29;"Pop,Electro,TV & movie soundtrack"
"On va s'aimer";"Gilbert Montagné";1984;0;0;2014-12-24;"French pop,80s"
"Silent Night (Woman Voice)";"Christmas Carol";1818;0;0;2011-05-30;Christmas,Traditionnal
"Buy Me A Boat";"Chris Janson";2015;0;0;2015-07-29;Country,Rock
"Have Yourself A Merry Little Christmas";"Ella Fitzgerald";1960;0;0;2013-11-22;Christmas,Jazz,Oldies
"Let It Be";"The Beatles";1970;0;0;2011-10-28;Pop
"Mary's Boy Child";"Boney M";1984;0;0;2014-09-03;Christmas,Pop,Disco
"Angels We Have Heard On High";"Christmas Carol";1962;0;0;2011-05-30;Christmas,Christian,Traditionnal
"O Holy Night";Glee;2010;0;0;2011-07-15;"Christmas,TV & movie soundtrack"
"Driving Home For Christmas";"Chris Rea";1988;0;0;2007-12-18;"Christmas,Pop,Soft rock"
"At Last";"Etta James";1961;0;0;2008-02-07;Soul,Oldies,Blues
"What A Wonderful World";"Louis Armstrong";1968;0;0;2007-05-29;Pop,Oldies
"Your Song";"Elton John";1969;0;0;2011-10-28;Pop,Love
Bailando;"Enrique Iglesias";2014;0;0;2014-07-07;Latin,Pop,Reggae
"Wagon Wheel";"Darius Rucker";2013;0;0;2013-07-01;Country
"Feeling Good";"Michael Bublé";2006;0;0;2008-05-20;Jazz
"Santa Baby";"Kylie Minogue";2007;0;0;2011-09-15;Christmas,Jazz,Oldies
"You Raise Me Up";"Josh Groban";2003;0;0;2007-05-04;Pop,Christian
"Summer Of '69";"Bryan Adams";1984;0;0;2011-05-30;Rock,Pop
"O Come All Ye Faithful (alternate version)";"Christmas Carol";1816;0;0;2011-05-31;Christmas,Traditionnal
"Stand By Me";"Ben E. King";1961;0;0;2008-07-25;Soul
"My Grown Up Christmas List";"Kelly Clarkson";2003;0;0;2011-05-30;Christmas,Pop
"Unchained Melody";"The Righteous Brothers";1965;0;0;2007-05-04;Love,Soul,Oldies
"I Will Survive";"Gloria Gaynor";1979;0;0;2007-05-04;Disco
"Atemlos durch die Nacht";"Helene Fischer";2013;0;0;2014-03-13;Schlager
"Place des grands hommes";"Patrick Bruel";1989;0;0;2013-12-09;"French pop"
Hello;"Lionel Richie";1984;0;0;2012-02-02;"Love,Soft rock"
Superstition;"Stevie Wonder";1972;0;0;2007-05-04;Funk
Zombie;"The Cranberries";1994;0;0;2011-11-02;Rock,Alternative
"Sur ma route";"Black M";2014;0;0;2014-11-03;"French pop,Rap,Dance"
"When Christmas Comes to Town";"The Polar Express";2004;0;0;2011-05-30;"Christmas,TV & movie soundtrack"
"Take Me To Church";Hozier;2013;0;0;2014-10-17;Soul,Rock
"Sous le vent";Garou;2000;1;0;2013-01-18;"French pop,Duet"
"All I Want For Christmas Is You";"Michael Bublé";2011;0;0;2011-11-16;Christmas,Pop
"Twinkle Twinkle Little Star";"Nursery Rhyme";1806;0;0;2008-06-26;Kids,Traditionnal
"Get Lucky";"Daft Punk";2013;0;0;2013-04-30;Disco,Funk
"Have Yourself A Merry Little Christmas";"Martina McBride";1998;0;0;2013-11-26;Christmas,Love
"Where Are You Christmas";"Faith Hill";2000;0;0;2011-11-21;"Christmas,TV & movie soundtrack"
"Silent Night";"Elvis Presley";1957;0;0;2014-12-10;Christmas,Oldies
"Mary Did You Know";"Helen Cornelius";2006;0;0;2014-12-19;"Christmas,Gospel,Christian,Soft rock"
"When I Was Your Man";"Bruno Mars";2012;0;0;2013-01-07;Pop
"Wildest Dreams";"Taylor Swift";2014;0;0;2014-12-30;Pop,Electro
"Billie Jean";"Michael Jackson";1982;0;0;2011-05-31;Disco,Pop
"Jingle Bells";"Michael Bublé";2011;0;0;2011-11-25;Christmas,Oldies,Jazz
"Fairytale Of New York";"The Pogues";1987;1;1;2007-12-17;Christmas,Duet,Celtic,Folk
Chandelier;Sia;2014;0;0;2014-05-26;Pop,R&B
"I Love Rock 'N Roll";"Joan Jett";1981;0;0;2007-05-04;Rock
"See You Again";"Wiz Khalifa";2015;1;0;2015-06-18;"Pop,Rap,TV & movie soundtrack,Duet"
"Piano Man";"Billy Joel";1973;0;0;2008-07-18;"Soft rock"
"Johnny B. Goode";"Chuck Berry";1958;0;0;2012-01-04;"Rock 'n Roll,Oldies"
Manhattan-Kaboul;Renaud;2002;1;0;2013-10-08;"French pop,Duet"
Jackson;"Johnny Cash";1968;1;0;2012-02-14;Country,Duet
"Black Velvet";"Alannah Myles";1989;0;0;2007-05-04;Rock
"Ain't No Sunshine";"Bill Withers";1971;0;0;2011-10-31;Soul,Blues
"We Are The World";"USA For Africa";1985;0;0;2008-05-06;Pop
"Baby, It's Cold Outside";"Dean Martin";2006;1;0;2011-08-22;Christmas,Duet,Oldies,Jazz
"Silver Bells";"Andy Williams";1965;0;0;2014-12-03;Christmas,Jazz,Oldies
"We Need A Little Christmas";Glee;2010;0;0;2011-12-12;"Christmas,TV & movie soundtrack"
Yesterday;"The Beatles";1965;0;0;2011-05-31;Pop,Love
"Killing Me Softly";"The Fugees";1996;0;0;2007-05-04;R&B,Rap
"Hey Jude";"The Beatles";1968;0;0;2007-06-05;Rock,Pop
"Vivo per lei";"Andrea Bocelli";1997;1;0;2008-01-09;"French pop,Duet,Love"
"Les sardines";"Patrick Sébastien";2006;0;0;2014-02-07;"French pop"
"Take Me Home, Country Roads";"John Denver";1971;0;0;2011-05-31;Country
"On écrit sur les murs";"Demis Roussos";1989;0;0;2015-01-29;"French pop"
"Les démons de minuit";Images;1986;0;0;2013-06-15;"French pop,80s"
"Smoke Break";"Carrie Underwood";2015;0;0;2015-09-23;Country,Rock,Pop
"These Boots Are Made For Walkin'";"Nancy Sinatra";1965;0;0;2007-05-04;"Pop,Oldies,Soul,Jazz,TV & movie soundtrack"
"You're The One That I Want";Grease;1978;1;0;2008-08-25;"Rock 'n Roll,TV & movie soundtrack,Duet"
"I'm Yours";"Jason Mraz";2008;0;0;2008-08-18;"Pop,Soft rock"
"Santa Claus Is Coming To Town";"Bing Crosby";1944;0;0;2011-11-10;Christmas,Jazz,Oldies
"Cups (You're Gonna Miss Me When I'm Gone)";"Pitch Perfect";2013;0;0;2013-05-22;"TV & movie soundtrack,Folk,Pop,Musical"
"I'm Comin' Over";"Chris Young";2015;0;0;2015-08-28;"Country,Love,Soft rock"
"O Holy Night";"Céline Dion";1998;0;0;2011-05-31;Christmas
"House Of The Rising Sun";"The Animals";1964;0;0;2007-06-11;Rock,Blues
Summertime;"Ella Fitzgerald";1960;0;0;2008-05-06;Jazz,Soul
Rude;MAGIC!;2013;0;0;2014-01-20;Pop,Reggae
"Want To Want Me";"Jason Derülo";2015;0;0;2015-05-18;Pop,R&B,Electro
"Drag Me Down";"One Direction";2015;0;0;2015-09-22;"Teen pop,Pop"
Angels;"Robbie Williams";1997;0;0;2007-05-04;Pop,Rock
"Santa Claus Is Coming To Town";"The Crystals";1963;0;0;2011-11-25;Christmas,Pop,Oldies
